czone,czname,kfr_pooled_pooled_p25,emp_ch,wage_ch,bartikInst
100,Johnson City,.36425951,-.0033852016,.024943257,-.0012591071
200,Morristown,.36348888,.0010316626,.018391121,-.0011809428
301,Middlesborough,.37954086,-.0057342118,.023442216,-.00015318536
302,Knoxville,.36562887,.007222943,.028200367,.0032873198
401,Winston-Salem,.3585453,-.00063639384,.017388804,-.0010089932
402,Martinsville,.36154455,-.010249643,.014917695,-.0099463379
500,Greensboro,.35171974,-.0011110832,.014020615,-.0047609848
601,North Wilkesboro,.38417399,-.012493457,.013579762,-.0042911628
602,Galax,.38194925,-.011629386,.020987255,-.0025762429
700,Spartanburg,.35068363,-.0029420005,.014673844,-.006180854
800,Gastonia,.34475291,-.0056750355,.014434365,-.0070972894
900,Charlotte,.35547766,.017927205,.017449824,.00025968906
1001,Boone,.39041746,-.0061353571,.020880187,.0010067446
1002,Morganton,.36971372,-.01344783,.010066913,-.0080589419
1100,Hickory,.35440123,-.0071531413,.016615983,-.0097924732
1201,Franklin,.40600118,.0048022945,.023958335,.0022384825
1202,Sylva,.39784676,.0025860437,.02848758,.0038866904
1203,Asheville,.38402158,.0043648169,.021746824,.0029001182
1204,Andrews,.39439392,.0055279555,.02253744,.0016987541
1301,Bennettsville,.33936301,-.0039805756,.01569658,-.0052226991
1302,Florence,.35070416,.0022735852,.016789304,.001591009
1400,Fayetteville,.33991903,-.0019723603,.025181221,.0013205693
1500,Wilmington,.35572052,.014697844,.029346524,.0049853036
1600,Wilson,.34348848,-.0020914758,.013745623,.0003532783
1701,Raleigh,.36892325,.022300696,.025439978,.0037156539
1702,Henderson,.33419344,.0054646344,.015934208,.0027529337
1800,Goldsboro,.36542726,.0057100616,.017138807,.0030907604
1900,Jacksonville,.36168918,.010139183,.028242268,.0056318524
2000,Virginia Beach,.37276009,.0088328179,.033193052,.0077047748
2100,Washington,.36985236,.0041077798,.022368606,.0042512063
2200,South Boston,.36308008,.00015258959,.021168165,-.0009423212
2300,Lynchburg,.38427681,.0029858581,.01909891,-.0012558389
2400,Richmond,.36740074,.0089231106,.026234491,.0051371483
2500,Newport News,.37543991,.0096653011,.036362749,.0069629741
2600,Roanoke Rapids,.34639466,-.0035741453,.017440576,.0026576393
2700,Gulfport,.37914118,.0029400366,.028351689,.0078643858
2800,Laurel,.38134879,.0021061287,.033466861,.0028980803
2900,Hattiesburg,.37992665,.012733354,.028251976,.0059224502
3001,Kosciusko,.37082943,-.0073415488,.015190132,-3.2364208e-06
3002,Yazoo City,.3412199,-.0072986544,.015978016,.0039948858
3003,Jackson,.35052887,.010771525,.02807731,.0043441406
3101,McComb,.38352028,.00071819866,.034386132,.0052912673
3102,Brookhaven,.3955968,.0024875205,.046696801,.0045912252
3201,Jena,.42917067,.0046186438,.043051213,.009041829
3202,Natchez,.384433,.0016930843,.037912786,.006399001
3203,Vicksburg,.34405756,-.0016575907,.028085666,.0045322264
3300,New Orleans,.37747043,-.017880024,.032733101,.0091612488
3400,Houma,.43033269,.020095194,.043084208,.010845589
3500,Baton Rouge,.38717529,.023193562,.031769671,.0066778278
3600,Alexandria,.38733861,.005916819,.034301568,.0093039675
3700,Lake Charles,.41379744,.0081960503,.036840804,.0091175213
3800,Lafayette,.4208959,.019551218,.049461715,.013123905
3901,Monroe,.36784509,.0040697269,.036498517,.0051087234
3902,Lake Providence,.39106646,-.000702789,.04470982,.005695737
4001,Magnolia,.36009762,-.0089407321,.021705439,.0015976172
4002,Shreveport,.3655659,.010659178,.029859914,.0065462789
4003,Ruston,.3949528,.0066050319,.041515626,.0063614948
4004,Many,.46206957,.010049229,.040024173,.0055725789
4101,Crossett,.37270483,-.0071751648,.016463237,.00050551235
4102,Pine Bluff,.34937087,-.0083583677,.020755203,.0027246349
4103,El Dorado,.36476186,-.0099747479,.025558855,.0014082764
4200,Little Rock,.36392024,.012547765,.024274316,.0050586527
4301,Stuttgart,.37180752,-.0032984838,.028527485,.0036300481
4302,Searcy,.40696004,.0033624296,.033390146,.0024399201
4401,London,.37500048,-.0015471824,.034332857,.0047556241
4402,Richmond,.37804106,-.0010019889,.027204089,.0010749472
4501,West Liberty,.38611117,-.0017373447,.040589347,.0057119392
4502,Hazard,.37725991,-.0031584238,.045468766,.0080033038
4601,Campbellsville,.40681148,-.00079182553,.035114855,.00088876497
4602,Somerset,.37738457,-.0016453078,.032719478,.00001864295
4701,Greenwood,.33746758,-.014471534,.010525006,-.00018253869
4702,Clarksdale,.33491996,-.0017404638,.020249536,.00071174593
4800,Greenville,.32580534,-.014482318,.01252536,.0048090979
4901,Jackson,.35306188,-.0054290793,.013931851,-.00047181902
4902,Dyersburg,.34534889,-.0028698775,.02180763,-.0024856147
4903,Lexington,.38903138,-.011721193,.01656983,-.0044680671
5000,Tupelo,.36464089,-.0059232353,.017561324,-.0059978659
5100,Corinth,.37787393,-.011443445,.022048203,-.0064433459
5201,New Albany,.37341398,-.0010113975,.019177843,-.0044205678
5202,Memphis,.32445639,.0050464137,.013166555,.0042500189
5300,West Memphis,.3376072,-.0093482845,.022114411,.0012989593
5401,Bowling Green,.39092591,.006715897,.023397809,-.0019018515
5402,Glasgow,.41163877,.00062137656,.016748965,-.002713491
5500,Columbia,.3776083,.0011935284,.0080694845,-.0035221332
5600,Nashville,.37838882,.015013978,.020180816,.002664905
5700,Tullahoma,.39422533,-.0022154537,.013093307,-.00094383722
5800,Dickson,.38736105,-.0047375336,.018015431,-.0022624782
5900,Clarksville,.37880698,.0071854396,.032131281,.0020549474
6000,Huntsville,.37208951,.012734959,.02784252,.0031058309
6100,Gadsden,.38050365,-.0073738773,.019216437,-.0043816711
6200,Florence,.38978094,-.0033369698,.01590593,-.0021163938
6301,McMinnville,.37664062,-.010186768,.019812914,-.0032894241
6302,Cookeville,.39485866,-.006831015,.021580134,-.0019355366
6401,Chattanooga,.3612006,.0040286761,.018824646,.00075173809
6402,Crossville,.38253507,-.0061579803,.019619491,-.003295155
6501,Ellijay,.38181657,.0090679806,.01600269,-.00093377702
6502,Cleveland,.37613487,-.001435449,.014206992,-.0048169196
6600,Rome,.3603237,.0028203225,.014313165,-.0058943946
6700,Tampa,.37731031,.012895344,.020079268,.0057056998
6800,Lakeland,.36892179,.012507785,.015039176,.0058775116
