ind,alpha1,beta2,indshare2,indshare_sd2,G2,G1,agg_beta,agg_indshare,agg_indshare_sd,agg_g,ind_name,_merge
351,.2927775979042053,.7729596495628357,.0041138869710267,.0076452759094536,-.009866994805634,-.03370133,2.6400914,.014051235,.026112912,-.03370133,Motor Vehicles,matched (3)
42,.1380548179149628,.5074920654296875,.0003479716251604,.0012647577095777,.0104115335270762,.075415939,3.6760185,.0025205323,.0091612721,.075415939,Oil+Gas Extraction,matched (3)
342,.0653909742832184,.0090480698272586,.0007804457563907,.0007901559583843,-.0020303225610405,-.031048972,.13836879,.011935068,.012083563,-.031048972,Electrical machinery,matched (3)
212,.0543538630008698,.142068475484848,.0003135312872473,.0002670808753464,-.0027682259678841,-.050929699,2.6137695,.005768335,.0049137422,-.050929699,Miscellaneous plastics products,matched (3)
242,.0537975765764713,.0149860763922334,.00030779428198,.0005169464857318,-.0021533889230341,-.040027618,.27856416,.0057213409,.0096091032,-.040027618,Furniture and fixtures,matched (3)
392,.0424749106168747,.0941268876194954,.0002443000266794,.0001063487798092,-.0021745450794697,-.05119599,2.2160585,.0057516312,.0025038023,-.05119599,"Manufacturing industries, n.s. ",matched (3)
320,.0332828499376774,.0936225801706314,.0000724807541701,.0000941219841479,-.0011957527603954,-.035926994,2.8129375,.0021777209,.0028279424,-.035926994,Metalworking machinery,matched (3)
142,.0329839214682579,-.0044146487489343,.0000680388475303,.0001937474880833,-.0016526189865544,-.050103776,-.13384245,.0020627882,.0058739982,-.050103776,"Yarn, thread, and fabric mills",matched (3)
932,.0323003157973289,.1440158933401108,.000159011236974,.0002440530370222,.0021952548995614,.067963883,4.458653,.0049229003,.0075557479,.067963883,National security and international affairs ,matched (3)
291,.0281983260065317,.0812940001487732,.0000333644929924,.0000460967821709,-.0016440998297185,-.058304872,2.8829372,.0011832083,.0016347347,-.058304872,Metal forgings and stampings,matched (3)
331,.0270119346678257,.0659890621900558,.0002533938386478,.0001761416060617,-.0004642841522582,-.017188111,2.4429595,.0093808109,.0065208809,-.017188111,"Machinery, except electrical, n.e.c.",matched (3)
840,.0230956897139549,.1098479479551315,.000366201158613,.0000791458514868,.0020941593684256,.090673171,4.7562099,.015855823,.0034268668,.090673171,"Health services, n.e.c.",matched (3)
300,.0212388671934605,.0532206073403358,.0000877193160704,.0000800210618763,-.0006067535141483,-.028568074,2.5058119,.0041301316,.0037676708,-.028568074,Miscellaneous fabricated metal products,matched (3)
152,.0182889644056559,.0001444552181056,.0000283854715235,.0000595758137933,-.0011194633552805,-.061209776,.0078984909,.0015520547,.0032574732,-.061209772,Miscellaneous fabricated textile products,matched (3)
